Name,Assignee,Author,Author (Override),Blocked by,Blocking,Canonical URL,Chatbot Ready,Class,Completeness,Content Type,Cover Image,Created by,Due,Entry Type,Excerpt,Keywords,Language,Last Reviewed,Last edited,Parent item,Priority,Publish Date,Publish Status,Related Knowledge,SEO Description,SEO Title,Series,Slug,Source,Status,Sub-item
Digital Allies - Accessibility Audits,,Anthony Cassella,,,,,Yes,Digital Allies - Services (Digital%20Allies%20-%20Services%2028afc742b9f781fca8d6cc17c4aadaea.html),Verified,"Business Info, Client-Facing, Technical Docs",,Code Unicorn LLC,,Documentation,,"Accessibility, Performance, Services",,"November 7, 2025","November 7, 2025 5:14 PM",Digital Allies - Core Services Overview (Digital%20Allies%20-%20Core%20Services%20Overview%2028afc742b9f78179bfbbee6237d8350c.html),High,,,,,,,,https://digitalallies.net/services.html,New,FAQ – Accessibility Audits (FAQ%20%E2%80%93%20Accessibility%20Audits%2091f929da495540fda31abe1ffbae857c.html)
Digital Allies - SEO Optimization,,Anthony Cassella,,,,,Yes,Digital Allies - Services (Digital%20Allies%20-%20Services%2028afc742b9f781fca8d6cc17c4aadaea.html),Verified,"Business Info, Client-Facing",,Code Unicorn LLC,,Reference,,"Analytics, SEO, Services",,"November 7, 2025","November 7, 2025 5:14 PM",Digital Allies - Core Services Overview (Digital%20Allies%20-%20Core%20Services%20Overview%2028afc742b9f78179bfbbee6237d8350c.html),High,,,"FAQ – SEO Optimization (FAQ%20%E2%80%93%20SEO%20Optimization%20a5148823bbd14a35b19401380158f27b.html), Digital Allies - How We Work (Digital%20Allies%20-%20How%20We%20Work%2084c09f50b62e4ca5875eeae912134b1e.html), KB – Local SEO Strategies (KB%20%E2%80%93%20Local%20SEO%20Strategies%20f94ea1b54daf40158e92daf7c44da258.html)",,,,,https://digitalallies.net/services.html,New,FAQ – SEO Optimization (FAQ%20%E2%80%93%20SEO%20Optimization%20a5148823bbd14a35b19401380158f27b.html)
Digital Allies - Website Maintenance,,Anthony Cassella,,,,,Yes,Digital Allies - Services (Digital%20Allies%20-%20Services%2028afc742b9f781fca8d6cc17c4aadaea.html),Complete,"Business Info, Client-Facing, Process/Workflow",,Code Unicorn LLC,,Process,,"Accessibility, CMS, Performance, Services",EN,"November 7, 2025","November 17, 2025 9:56 PM",Digital Allies - Core Services Overview (Digital%20Allies%20-%20Core%20Services%20Overview%2028afc742b9f78179bfbbee6237d8350c.html),Medium,,,"FAQ – Website Maintenance (FAQ%20%E2%80%93%20Website%20Maintenance%206400bfae9bb646a5a0548325893c1cec.html), Digital Allies - How We Work (Digital%20Allies%20-%20How%20We%20Work%2084c09f50b62e4ca5875eeae912134b1e.html)",,,,,https://digitalallies.net/services.html,Published to KB,FAQ – Website Maintenance (FAQ%20%E2%80%93%20Website%20Maintenance%206400bfae9bb646a5a0548325893c1cec.html)
Digital Allies - Technology Consulting,,Anthony Cassella,,,,,Yes,Digital Allies - Services (Digital%20Allies%20-%20Services%2028afc742b9f781fca8d6cc17c4aadaea.html),Verified,"Business Info, Client-Facing",,Code Unicorn LLC,,Reference,,"Analytics, Development, Services",,"November 7, 2025","November 7, 2025 5:14 PM",Digital Allies - Core Services Overview (Digital%20Allies%20-%20Core%20Services%20Overview%2028afc742b9f78179bfbbee6237d8350c.html),High,,,"FAQ – Technology Consulting (FAQ%20%E2%80%93%20Technology%20Consulting%20df115069b59b441c98ca31e0b12b3e67.html), Digital Allies - How We Work (Digital%20Allies%20-%20How%20We%20Work%2084c09f50b62e4ca5875eeae912134b1e.html), KB – Choosing the Right Knowledge Base Platform (KB%20%E2%80%93%20Choosing%20the%20Right%20Knowledge%20Base%20Platform%2076cf58aa83e14e63988c53f833b0211d.html)",,,,,https://digitalallies.net/services.html,New,FAQ – Technology Consulting (FAQ%20%E2%80%93%20Technology%20Consulting%20df115069b59b441c98ca31e0b12b3e67.html)
Digital Allies - Design & Branding,,Anthony Cassella,,,,,Yes,Digital Allies - Services (Digital%20Allies%20-%20Services%2028afc742b9f781fca8d6cc17c4aadaea.html),Complete,"Business Info, Client-Facing",,Code Unicorn LLC,,Reference,,"Design, Services",,"November 7, 2025","November 17, 2025 9:52 PM",Digital Allies - Core Services Overview (Digital%20Allies%20-%20Core%20Services%20Overview%2028afc742b9f78179bfbbee6237d8350c.html),High,,,"FAQ – Design & Branding (FAQ%20%E2%80%93%20Design%20&%20Branding%20d908f199c43647a68485559649e11824.html), Digital Allies - How We Work (Digital%20Allies%20-%20How%20We%20Work%2084c09f50b62e4ca5875eeae912134b1e.html), KB – How to Make Your Website ADA Compliant (KB%20%E2%80%93%20How%20to%20Make%20Your%20Website%20ADA%20Compliant%209933457ecf1b49b5bc77824baf7cd367.html)",,,,,https://digitalallies.net/services.html,New,FAQ – Design & Branding (FAQ%20%E2%80%93%20Design%20&%20Branding%20d908f199c43647a68485559649e11824.html)
Digital Allies - Web Development,,Anthony Cassella,,,,,Yes,Digital Allies - Services (Digital%20Allies%20-%20Services%2028afc742b9f781fca8d6cc17c4aadaea.html),Verified,"Business Info, Client-Facing",,Code Unicorn LLC,,Reference,,"Accessibility, Analytics, CMS, Development, Multilingual, Performance, SEO, Services",,"November 7, 2025","November 7, 2025 5:14 PM",Digital Allies - Core Services Overview (Digital%20Allies%20-%20Core%20Services%20Overview%2028afc742b9f78179bfbbee6237d8350c.html),Critical,,,"FAQ – Web Development (FAQ%20%E2%80%93%20Web%20Development%20554da5c1a0544aeb9f11ef2dc97025b5.html), Digital Allies - How We Work (Digital%20Allies%20-%20How%20We%20Work%2084c09f50b62e4ca5875eeae912134b1e.html), KB – How to Make Your Website ADA Compliant (KB%20%E2%80%93%20How%20to%20Make%20Your%20Website%20ADA%20Compliant%209933457ecf1b49b5bc77824baf7cd367.html), KB – Local SEO Strategies (KB%20%E2%80%93%20Local%20SEO%20Strategies%20f94ea1b54daf40158e92daf7c44da258.html)",,,,,https://digitalallies.net/services.html,New,FAQ – Web Development (FAQ%20%E2%80%93%20Web%20Development%20554da5c1a0544aeb9f11ef2dc97025b5.html)
FAQ – Web Development,,Anthony Cassella,,,,,Yes,Digital Allies - Services (Digital%20Allies%20-%20Services%2028afc742b9f781fca8d6cc17c4aadaea.html),Complete,"Business Info, Client-Facing",,Code Unicorn LLC,,FAQ,,"Accessibility, CMS, Development, Performance, SEO, Services",,,"November 17, 2025 9:52 PM",Digital Allies - Web Development (Digital%20Allies%20-%20Web%20Development%20e014b76c4a5549b4a4109ac8a9540588.html),Medium,,,Digital Allies - Web Development (Digital%20Allies%20-%20Web%20Development%20e014b76c4a5549b4a4109ac8a9540588.html),,,,,https://digitalallies.net/services.html,New,
FAQ – Website Maintenance,,Anthony Cassella,,,,,Yes,Digital Allies - Services (Digital%20Allies%20-%20Services%2028afc742b9f781fca8d6cc17c4aadaea.html),Verified,"Business Info, Client-Facing",,Code Unicorn LLC,,FAQ,,"Accessibility, CMS, Performance, Services",,"November 17, 2025","November 17, 2025 10:00 PM",Digital Allies - Website Maintenance (Digital%20Allies%20-%20Website%20Maintenance%2092b7906d7ac24114b6d06cf43fc618e9.html),Medium,,,Digital Allies - Website Maintenance (Digital%20Allies%20-%20Website%20Maintenance%2092b7906d7ac24114b6d06cf43fc618e9.html),,,,,https://digitalallies.net/services.html,Published to KB,
Digital Allies - How We Work,,Anthony Cassella,,,,,Yes,Digital Allies - Services (Digital%20Allies%20-%20Services%2028afc742b9f781fca8d6cc17c4aadaea.html),Complete,"Business Info, Client-Facing, Process/Workflow",,Code Unicorn LLC,,Process,,"Accessibility, Analytics, CMS, Design, Development, Performance, SEO, Services",,,"November 17, 2025 9:53 PM",Digital Allies - Core Services Overview (Digital%20Allies%20-%20Core%20Services%20Overview%2028afc742b9f78179bfbbee6237d8350c.html),High,,,"Digital Allies - Design & Branding (Digital%20Allies%20-%20Design%20&%20Branding%20df8f1163d1eb4d84aaa41baa3d1ce784.html), Digital Allies - Web Development (Digital%20Allies%20-%20Web%20Development%20e014b76c4a5549b4a4109ac8a9540588.html), Digital Allies - Technology Consulting (Digital%20Allies%20-%20Technology%20Consulting%20abcaabfd2d5940f6af578e13caaf144d.html), Digital Allies - SEO Optimization (Digital%20Allies%20-%20SEO%20Optimization%2054eaa62d31cc4eae8d31bb2b5cdc7ab7.html), Digital Allies - Website Maintenance (Digital%20Allies%20-%20Website%20Maintenance%2092b7906d7ac24114b6d06cf43fc618e9.html)",,,,,https://digitalallies.net/services.html,New,
FAQ – Accessibility Audits,,Anthony Cassella,,,,,Yes,Digital Allies - Services (Digital%20Allies%20-%20Services%2028afc742b9f781fca8d6cc17c4aadaea.html),Verified,"Business Info, Client-Facing, Technical Docs",,Code Unicorn LLC,,FAQ,,"Accessibility, Performance, Services",,,"November 17, 2025 9:52 PM",Digital Allies - Accessibility Audits (Digital%20Allies%20-%20Accessibility%20Audits%201ecd476d92a649469e58854583ba8a5c.html),Medium,,,,,,,,https://digitalallies.net/services.html,New,
FAQ – SEO Optimization,,Anthony Cassella,,,,,Yes,Digital Allies - Services (Digital%20Allies%20-%20Services%2028afc742b9f781fca8d6cc17c4aadaea.html),Complete,"Business Info, Client-Facing",,Code Unicorn LLC,,FAQ,,"Analytics, SEO, Services",,,"November 17, 2025 9:53 PM",Digital Allies - SEO Optimization (Digital%20Allies%20-%20SEO%20Optimization%2054eaa62d31cc4eae8d31bb2b5cdc7ab7.html),Medium,,,Digital Allies - SEO Optimization (Digital%20Allies%20-%20SEO%20Optimization%2054eaa62d31cc4eae8d31bb2b5cdc7ab7.html),,,,,https://digitalallies.net/services.html,New,
FAQ – Design & Branding,,Anthony Cassella,,,,,Yes,Digital Allies - Services (Digital%20Allies%20-%20Services%2028afc742b9f781fca8d6cc17c4aadaea.html),Complete,"Business Info, Client-Facing",,Code Unicorn LLC,,FAQ,,"Design, Services",,,"November 17, 2025 9:53 PM",Digital Allies - Design & Branding (Digital%20Allies%20-%20Design%20&%20Branding%20df8f1163d1eb4d84aaa41baa3d1ce784.html),Medium,,,Digital Allies - Design & Branding (Digital%20Allies%20-%20Design%20&%20Branding%20df8f1163d1eb4d84aaa41baa3d1ce784.html),,,,,https://digitalallies.net/services.html,New,
FAQ – Technology Consulting,,Anthony Cassella,,,,,Yes,Digital Allies - Services (Digital%20Allies%20-%20Services%2028afc742b9f781fca8d6cc17c4aadaea.html),Complete,"Business Info, Client-Facing",,Code Unicorn LLC,,FAQ,,"Analytics, Development, Services",,,"November 17, 2025 9:52 PM",Digital Allies - Technology Consulting (Digital%20Allies%20-%20Technology%20Consulting%20abcaabfd2d5940f6af578e13caaf144d.html),Medium,,,Digital Allies - Technology Consulting (Digital%20Allies%20-%20Technology%20Consulting%20abcaabfd2d5940f6af578e13caaf144d.html),,,,,https://digitalallies.net/services.html,New,
KB – Choosing the Right Knowledge Base Platform,,Anthony Cassella,,,,,Yes,Digital Allies - Services (Digital%20Allies%20-%20Services%2028afc742b9f781fca8d6cc17c4aadaea.html),Verified,"Business Info, Client-Facing",,Code Unicorn LLC,,Reference,,Services,,"November 7, 2025","November 7, 2025 5:14 PM",,Medium,,,Digital Allies - Technology Consulting (Digital%20Allies%20-%20Technology%20Consulting%20abcaabfd2d5940f6af578e13caaf144d.html),,,,,https://digitalallies.net/,New,
KB – How to Make Your Website ADA Compliant,,Anthony Cassella,,,,,Yes,Digital Allies - Services (Digital%20Allies%20-%20Services%2028afc742b9f781fca8d6cc17c4aadaea.html),Verified,"Client-Facing, Technical Docs",,Code Unicorn LLC,,Documentation,,"Accessibility, Services",,"November 7, 2025","November 7, 2025 5:14 PM",,High,,,"Digital Allies - Design & Branding (Digital%20Allies%20-%20Design%20&%20Branding%20df8f1163d1eb4d84aaa41baa3d1ce784.html), Digital Allies - Web Development (Digital%20Allies%20-%20Web%20Development%20e014b76c4a5549b4a4109ac8a9540588.html)",,,,,https://digitalallies.net/accessibility-guide,New,
KB – Getting Ready for Your Consultation,,Anthony Cassella,,,,,Yes,Digital Allies - Services (Digital%20Allies%20-%20Services%2028afc742b9f781fca8d6cc17c4aadaea.html),Verified,"Client-Facing, Process/Workflow",,Code Unicorn LLC,,Process,,Services,,"November 7, 2025","November 7, 2025 5:14 PM",,Medium,,,,,,,,https://digitalallies.net/,New,
KB – Local SEO Strategies,,Anthony Cassella,,,,,Yes,Digital Allies - Services (Digital%20Allies%20-%20Services%2028afc742b9f781fca8d6cc17c4aadaea.html),Verified,Client-Facing,,Code Unicorn LLC,,Documentation,,"SEO, Services",,"November 7, 2025","November 7, 2025 5:14 PM",,High,,,"Digital Allies - Web Development (Digital%20Allies%20-%20Web%20Development%20e014b76c4a5549b4a4109ac8a9540588.html), Digital Allies - SEO Optimization (Digital%20Allies%20-%20SEO%20Optimization%2054eaa62d31cc4eae8d31bb2b5cdc7ab7.html)",,,,,https://digitalallies.net/services,New,
